seeker_choice,hider_choice,reward,seeker_value,learning_rate,inverse_temperature,trial,n_trials
1.0,1.0,1.0,0.55,0.14538584840846097,1.796101187248187,0,100
1.0,0.0,0.0,0.49500000000000005,0.14538584840846097,1.796101187248187,1,100
1.0,1.0,1.0,0.5455000000000001,0.14538584840846097,1.796101187248187,2,100
1.0,0.0,0.0,0.4909500000000001,0.14538584840846097,1.796101187248187,3,100
0.0,1.0,0.0,0.5418550000000001,0.14538584840846097,1.796101187248187,4,100
1.0,1.0,1.0,0.5876695000000001,0.14538584840846097,1.796101187248187,5,100
1.0,1.0,1.0,0.6289025500000001,0.14538584840846097,1.796101187248187,6,100
1.0,1.0,1.0,0.666012295,0.14538584840846097,1.796101187248187,7,100
0.0,0.0,1.0,0.5994110655,0.14538584840846097,1.796101187248187,8,100
0.0,0.0,1.0,0.53946995895,0.14538584840846097,1.796101187248187,9,100
0.0,1.0,0.0,0.5855229630550001,0.14538584840846097,1.796101187248187,10,100
0.0,1.0,0.0,0.6269706667495001,0.14538584840846097,1.796101187248187,11,100
0.0,0.0,1.0,0.5642736000745501,0.14538584840846097,1.796101187248187,12,100
1.0,1.0,1.0,0.6078462400670951,0.14538584840846097,1.796101187248187,13,100
1.0,1.0,1.0,0.6470616160603856,0.14538584840846097,1.796101187248187,14,100
0.0,1.0,0.0,0.6823554544543471,0.14538584840846097,1.796101187248187,15,100
0.0,1.0,0.0,0.7141199090089124,0.14538584840846097,1.796101187248187,16,100
1.0,1.0,1.0,0.7427079181080212,0.14538584840846097,1.796101187248187,17,100
1.0,1.0,1.0,0.768437126297219,0.14538584840846097,1.796101187248187,18,100
1.0,0.0,0.0,0.6915934136674972,0.14538584840846097,1.796101187248187,19,100
1.0,0.0,0.0,0.6224340723007474,0.14538584840846097,1.796101187248187,20,100
0.0,1.0,0.0,0.6601906650706727,0.14538584840846097,1.796101187248187,21,100
1.0,0.0,0.0,0.5941715985636055,0.14538584840846097,1.796101187248187,22,100
1.0,1.0,1.0,0.6347544387072449,0.14538584840846097,1.796101187248187,23,100
0.0,0.0,1.0,0.5712789948365204,0.14538584840846097,1.796101187248187,24,100
1.0,1.0,1.0,0.6141510953528684,0.14538584840846097,1.796101187248187,25,100
1.0,0.0,0.0,0.5527359858175815,0.14538584840846097,1.796101187248187,26,100
0.0,1.0,0.0,0.5974623872358233,0.14538584840846097,1.796101187248187,27,100
1.0,1.0,1.0,0.637716148512241,0.14538584840846097,1.796101187248187,28,100
0.0,1.0,0.0,0.6739445336610169,0.14538584840846097,1.796101187248187,29,100
0.0,1.0,0.0,0.7065500802949152,0.14538584840846097,1.796101187248187,30,100
1.0,0.0,0.0,0.6358950722654236,0.14538584840846097,1.796101187248187,31,100
1.0,0.0,0.0,0.5723055650388813,0.14538584840846097,1.796101187248187,32,100
1.0,1.0,1.0,0.6150750085349932,0.14538584840846097,1.796101187248187,33,100
1.0,0.0,0.0,0.5535675076814939,0.14538584840846097,1.796101187248187,34,100
0.0,1.0,0.0,0.5982107569133445,0.14538584840846097,1.796101187248187,35,100
1.0,1.0,1.0,0.63838968122201,0.14538584840846097,1.796101187248187,36,100
1.0,1.0,1.0,0.674550713099809,0.14538584840846097,1.796101187248187,37,100
1.0,1.0,1.0,0.7070956417898281,0.14538584840846097,1.796101187248187,38,100
1.0,1.0,1.0,0.7363860776108453,0.14538584840846097,1.796101187248187,39,100
0.0,1.0,0.0,0.7627474698497607,0.14538584840846097,1.796101187248187,40,100
1.0,0.0,0.0,0.6864727228647847,0.14538584840846097,1.796101187248187,41,100
1.0,1.0,1.0,0.7178254505783062,0.14538584840846097,1.796101187248187,42,100
1.0,0.0,0.0,0.6460429055204755,0.14538584840846097,1.796101187248187,43,100
1.0,0.0,0.0,0.581438614968428,0.14538584840846097,1.796101187248187,44,100
0.0,1.0,0.0,0.6232947534715851,0.14538584840846097,1.796101187248187,45,100
1.0,0.0,0.0,0.5609652781244266,0.14538584840846097,1.796101187248187,46,100
1.0,1.0,1.0,0.604868750311984,0.14538584840846097,1.796101187248187,47,100
1.0,1.0,1.0,0.6443818752807855,0.14538584840846097,1.796101187248187,48,100
0.0,1.0,0.0,0.679943687752707,0.14538584840846097,1.796101187248187,49,100
0.0,1.0,0.0,0.7119493189774363,0.14538584840846097,1.796101187248187,50,100
1.0,1.0,1.0,0.7407543870796927,0.14538584840846097,1.796101187248187,51,100
0.0,0.0,1.0,0.6666789483717234,0.14538584840846097,1.796101187248187,52,100
0.0,1.0,0.0,0.7000110535345511,0.14538584840846097,1.796101187248187,53,100
1.0,1.0,1.0,0.730009948181096,0.14538584840846097,1.796101187248187,54,100
1.0,1.0,1.0,0.7570089533629863,0.14538584840846097,1.796101187248187,55,100
1.0,1.0,1.0,0.7813080580266877,0.14538584840846097,1.796101187248187,56,100
1.0,1.0,1.0,0.8031772522240189,0.14538584840846097,1.796101187248187,57,100
0.0,1.0,0.0,0.822859527001617,0.14538584840846097,1.796101187248187,58,100
0.0,1.0,0.0,0.8405735743014553,0.14538584840846097,1.796101187248187,59,100
0.0,0.0,1.0,0.7565162168713098,0.14538584840846097,1.796101187248187,60,100
0.0,1.0,0.0,0.7808645951841788,0.14538584840846097,1.796101187248187,61,100
1.0,0.0,0.0,0.702778135665761,0.14538584840846097,1.796101187248187,62,100
1.0,1.0,1.0,0.7325003220991849,0.14538584840846097,1.796101187248187,63,100
1.0,0.0,0.0,0.6592502898892665,0.14538584840846097,1.796101187248187,64,100
0.0,1.0,0.0,0.6933252609003399,0.14538584840846097,1.796101187248187,65,100
0.0,1.0,0.0,0.7239927348103059,0.14538584840846097,1.796101187248187,66,100
1.0,1.0,1.0,0.7515934613292753,0.14538584840846097,1.796101187248187,67,100
0.0,1.0,0.0,0.7764341151963478,0.14538584840846097,1.796101187248187,68,100
