seeker_choice,hider_choice,reward,seeker_value,learning_rate,inverse_temperature,trial,n_trials
0.0,1.0,0.0,0.55,0.1576608098522124,2.5173633280000005,0,100
0.0,0.0,1.0,0.49500000000000005,0.1576608098522124,2.5173633280000005,1,100
1.0,0.0,0.0,0.44550000000000006,0.1576608098522124,2.5173633280000005,2,100
1.0,0.0,0.0,0.40095000000000003,0.1576608098522124,2.5173633280000005,3,100
0.0,0.0,1.0,0.36085500000000004,0.1576608098522124,2.5173633280000005,4,100
0.0,1.0,0.0,0.4247695,0.1576608098522124,2.5173633280000005,5,100
1.0,1.0,1.0,0.48229255000000004,0.1576608098522124,2.5173633280000005,6,100
0.0,1.0,0.0,0.534063295,0.1576608098522124,2.5173633280000005,7,100
1.0,1.0,1.0,0.5806569655,0.1576608098522124,2.5173633280000005,8,100
1.0,0.0,0.0,0.52259126895,0.1576608098522124,2.5173633280000005,9,100
1.0,1.0,1.0,0.5703321420549999,0.1576608098522124,2.5173633280000005,10,100
0.0,1.0,0.0,0.6132989278494999,0.1576608098522124,2.5173633280000005,11,100
1.0,1.0,1.0,0.65196903506455,0.1576608098522124,2.5173633280000005,12,100
0.0,1.0,0.0,0.6867721315580949,0.1576608098522124,2.5173633280000005,13,100
1.0,1.0,1.0,0.7180949184022855,0.1576608098522124,2.5173633280000005,14,100
0.0,1.0,0.0,0.7462854265620569,0.1576608098522124,2.5173633280000005,15,100
1.0,1.0,1.0,0.7716568839058512,0.1576608098522124,2.5173633280000005,16,100
0.0,0.0,1.0,0.6944911955152661,0.1576608098522124,2.5173633280000005,17,100
1.0,1.0,1.0,0.7250420759637395,0.1576608098522124,2.5173633280000005,18,100
1.0,1.0,1.0,0.7525378683673656,0.1576608098522124,2.5173633280000005,19,100
1.0,0.0,0.0,0.677284081530629,0.1576608098522124,2.5173633280000005,20,100
0.0,1.0,0.0,0.7095556733775661,0.1576608098522124,2.5173633280000005,21,100
1.0,1.0,1.0,0.7386001060398095,0.1576608098522124,2.5173633280000005,22,100
1.0,1.0,1.0,0.7647400954358285,0.1576608098522124,2.5173633280000005,23,100
0.0,1.0,0.0,0.7882660858922457,0.1576608098522124,2.5173633280000005,24,100
0.0,1.0,0.0,0.8094394773030211,0.1576608098522124,2.5173633280000005,25,100
1.0,0.0,0.0,0.728495529572719,0.1576608098522124,2.5173633280000005,26,100
1.0,1.0,1.0,0.7556459766154471,0.1576608098522124,2.5173633280000005,27,100
0.0,0.0,1.0,0.6800813789539024,0.1576608098522124,2.5173633280000005,28,100
0.0,1.0,0.0,0.7120732410585122,0.1576608098522124,2.5173633280000005,29,100
1.0,0.0,0.0,0.640865916952661,0.1576608098522124,2.5173633280000005,30,100
0.0,0.0,1.0,0.576779325257395,0.1576608098522124,2.5173633280000005,31,100
0.0,0.0,1.0,0.5191013927316555,0.1576608098522124,2.5173633280000005,32,100
1.0,1.0,1.0,0.5671912534584899,0.1576608098522124,2.5173633280000005,33,100
1.0,1.0,1.0,0.6104721281126408,0.1576608098522124,2.5173633280000005,34,100
0.0,0.0,1.0,0.5494249153013767,0.1576608098522124,2.5173633280000005,35,100
0.0,1.0,0.0,0.594482423771239,0.1576608098522124,2.5173633280000005,36,100
1.0,0.0,0.0,0.5350341813941152,0.1576608098522124,2.5173633280000005,37,100
1.0,0.0,0.0,0.4815307632547037,0.1576608098522124,2.5173633280000005,38,100
0.0,1.0,0.0,0.5333776869292333,0.1576608098522124,2.5173633280000005,39,100
1.0,1.0,1.0,0.58003991823631,0.1576608098522124,2.5173633280000005,40,100
1.0,1.0,1.0,0.6220359264126789,0.1576608098522124,2.5173633280000005,41,100
1.0,0.0,0.0,0.5598323337714111,0.1576608098522124,2.5173633280000005,42,100
0.0,1.0,0.0,0.60384910039427,0.1576608098522124,2.5173633280000005,43,100
0.0,1.0,0.0,0.643464190354843,0.1576608098522124,2.5173633280000005,44,100
0.0,0.0,1.0,0.5791177713193587,0.1576608098522124,2.5173633280000005,45,100
1.0,1.0,1.0,0.6212059941874228,0.1576608098522124,2.5173633280000005,46,100
1.0,1.0,1.0,0.6590853947686806,0.1576608098522124,2.5173633280000005,47,100
0.0,0.0,1.0,0.5931768552918125,0.1576608098522124,2.5173633280000005,48,100
1.0,1.0,1.0,0.6338591697626312,0.1576608098522124,2.5173633280000005,49,100
0.0,1.0,0.0,0.6704732527863682,0.1576608098522124,2.5173633280000005,50,100
0.0,1.0,0.0,0.7034259275077314,0.1576608098522124,2.5173633280000005,51,100
1.0,1.0,1.0,0.7330833347569582,0.1576608098522124,2.5173633280000005,52,100
1.0,1.0,1.0,0.7597750012812624,0.1576608098522124,2.5173633280000005,53,100
1.0,1.0,1.0,0.7837975011531362,0.1576608098522124,2.5173633280000005,54,100
1.0,1.0,1.0,0.8054177510378225,0.1576608098522124,2.5173633280000005,55,100
1.0,0.0,0.0,0.7248759759340403,0.1576608098522124,2.5173633280000005,56,100
1.0,1.0,1.0,0.7523883783406362,0.1576608098522124,2.5173633280000005,57,100
0.0,1.0,0.0,0.7771495405065726,0.1576608098522124,2.5173633280000005,58,100
0.0,0.0,1.0,0.6994345864559153,0.1576608098522124,2.5173633280000005,59,100
1.0,0.0,0.0,0.6294911278103238,0.1576608098522124,2.5173633280000005,60,100
1.0,1.0,1.0,0.6665420150292914,0.1576608098522124,2.5173633280000005,61,100
1.0,0.0,0.0,0.5998878135263623,0.1576608098522124,2.5173633280000005,62,100
1.0,1.0,1.0,0.6398990321737261,0.1576608098522124,2.5173633280000005,63,100
0.0,1.0,0.0,0.6759091289563535,0.1576608098522124,2.5173633280000005,64,100
0.0,0.0,1.0,0.6083182160607181,0.1576608098522124,2.5173633280000005,65,100
1.0,1.0,1.0,0.6474863944546463,0.1576608098522124,2.5173633280000005,66,100
0.0,0.0,1.0,0.5827377550091817,0.1576608098522124,2.5173633280000005,67,100
1.0,0.0,0.0,0.5244639795082635,0.1576608098522124,2.5173633280000005,68,100
1.0,1.0,1.0,0.5720175815574372,0.1576608098522124,2.5173633280000005,69,100
0.0,1.0,0.0,0.6148158234016935,0.1576608098522124,2.5173633280000005,70,100
1.0,1.0,1.0,0.6533342410615242,0.1576608098522124,2.5173633280000005,71,100
1.0,0.0,0.0,0.5880008169553718,0.1576608098522124,2.5173633280000005,72,100
1.0,1.0,1.0,0.6292007352598346,0.1576608098522124,2.5173633280000005,73,100
0.0,0.0,1.0,0.566280661733851,0.1576608098522124,2.5173633280000005,74,100
1.0,0.0,0.0,0.5096525955604659,0.1576608098522124,2.5173633280000005,75,100
1.0,0.0,0.0,0.45868733600441935,0.1576608098522124,2.5173633280000005,76,100
0.0,0.0,1.0,0.4128186024039774,0.1576608098522124,2.5173633280000005,77,100
1.0,1.0,1.0,0.47153674216357966,0.1576608098522124,2.5173633280000005,78,100
0.0,1.0,0.0,0.5243830679472217,0.1576608098522124,2.5173633280000005,79,100
1.0,0.0,0.0,0.4719447611524995,0.1576608098522124,2.5173633280000005,80,100
1.0,0.0,0.0,0.42475028503724954,0.1576608098522124,2.5173633280000005,81,100
1.0,1.0,1.0,0.4822752565335246,0.1576608098522124,2.5173633280000005,82,100
0.0,1.0,0.0,0.5340477308801721,0.1576608098522124,2.5173633280000005,83,100
1.0,0.0,0.0,0.4806429577921549,0.1576608098522124,2.5173633280000005,84,100
1.0,1.0,1.0,0.5325786620129394,0.1576608098522124,2.5173633280000005,85,100
